Average_Temperature_C,Total_Precipitation_mm,Soil_Health_Index,Crop_Type,Adaptation_Strategies,Crop_Yield_MT_per_HA,Economic_Impact_Million_USD
0.4062,0.1227,0.6561,Rice,No Adaptation,0.6082,0.1519
0.3676,0.9392,0.9143,Vegetables,No Adaptation,0.4965,0.5305
0.9467,0.8791,0.7677,Cotton,No Adaptation,0.2027,0.1291
0.1324,0.1575,0.7501,Wheat,Crop Rotation,0.2344,0.0716
0.5596,0.2762,0.7519,Wheat,No Adaptation,0.3486,0.2706
0.035,0.244,0.4267,Wheat,Crop Rotation,0.3648,0.1536
0.1131,0.7379,0.9773,Cotton,No Adaptation,0.5429,0.4661
0.0248,0.1512,0.9914,Sugarcane,Water Management,0.311,0.1885
0.211,0.3783,0.4653,Soybeans,Crop Rotation,0.0871,0.1031
0.7492,0.389,0.0808,Rice,Drought-resistant Crops,0.302,0.1864
0.749,0.0222,0.8931,Sugarcane,Water Management,0.4965,0.3543
0.6984,0.0147,0.2902,Vegetables,No Adaptation,0.1398,0.1942
0.5853,0.6649,0.8126,Wheat,Water Management,0.991,0.3319
0.7523,0.3872,0.1558,Sugarcane,No Adaptation,0.4134,0.2362
0.3981,0.325,0.8749,Barley,Water Management,0.2087,0.0776
0.3483,0.3396,0.1188,Cotton,Organic Farming,0.3492,0.2037
0.6777,0.6022,0.6166,Coffee,Crop Rotation,0.308,0.2903
0.7462,0.4627,0.5403,Corn,Water Management,0.5451,0.4999
0.761,0.5845,0.3595,Fruits,Water Management,0.741,0.53
0.4645,0.1314,0.8428,Wheat,No Adaptation,0.7005,0.7292
0.4737,0.9768,0.3486,Wheat,Drought-resistant Crops,0.4979,0.1482
0.3929,0.9489,0.9049,Rice,Water Management,0.2898,0.2875
0.8241,0.1707,0.5092,Coffee,Crop Rotation,0.2472,0.2438
0.0801,0.2432,0.0631,Cotton,Crop Rotation,0.2096,0.1362
0.0,0.1024,0.107,Cotton,Drought-resistant Crops,0.0466,0.0529
0.746,0.3335,0.5221,Vegetables,Organic Farming,0.7771,0.5699
0.1559,0.616,0.2317,Cotton,Water Management,0.1074,0.1029
0.6909,0.314,0.2849,Vegetables,Water Management,0.5614,0.5984
0.2633,0.5634,0.47,Coffee,Drought-resistant Crops,0.4348,0.1589
0.3941,0.4982,0.427,Vegetables,Drought-resistant Crops,0.7028,0.556
0.8168,0.8597,0.2462,Cotton,Crop Rotation,0.1466,0.0357
0.3791,0.2992,0.6271,Sugarcane,Water Management,0.304,0.116
0.6899,0.0909,0.171,Wheat,No Adaptation,0.6566,0.2164
0.4389,0.1222,0.956,Soybeans,No Adaptation,0.7823,0.3522
0.8493,0.684,0.2253,Rice,No Adaptation,0.7928,0.8034
0.9479,0.7657,0.6387,Corn,No Adaptation,0.2898,0.1732
0.795,0.2216,0.3409,Wheat,Drought-resistant Crops,0.7073,0.1473
0.1579,0.0696,0.8963,Fruits,Organic Farming,0.0466,0.0093
0.5873,0.477,0.3937,Rice,Water Management,0.4618,0.4605
0.4272,0.7855,0.6419,Cotton,No Adaptation,0.401,0.1154
0.7315,0.3988,0.496,Fruits,Drought-resistant Crops,0.5924,0.5584
0.4019,0.0397,0.6439,Soybeans,Water Management,0.5492,0.2343
0.0841,0.8842,0.8131,Cotton,Water Management,0.3312,0.1164
0.8071,0.9782,0.4255,Cotton,Drought-resistant Crops,0.2907,0.2615
0.3524,0.0745,0.2459,Cotton,Crop Rotation,0.0912,0.0297
0.9382,0.7581,0.1329,Fruits,Drought-resistant Crops,0.3607,0.3742
0.5658,0.7735,0.2986,Barley,Crop Rotation,0.454,0.4539
0.9542,0.9003,0.3532,Barley,Water Management,0.2371,0.2283
0.7427,0.2857,0.6047,Coffee,Drought-resistant Crops,0.1488,0.0764
0.0993,0.4765,0.0782,Vegetables,Crop Rotation,0.2472,0.0682
0.3951,0.6733,0.4671,Corn,Drought-resistant Crops,1.0,0.9762
0.2815,0.8717,0.839,Rice,No Adaptation,0.4393,0.5048
0.0365,0.9824,0.6613,Fruits,No Adaptation,0.5632,0.305
0.6049,0.9993,0.9511,Vegetables,No Adaptation,0.8919,0.4308
0.7445,0.4726,0.8651,Cotton,Organic Farming,0.7928,0.8359
0.5198,0.274,0.8552,Barley,Water Management,0.2574,0.2718
0.2275,0.4975,0.6151,Barley,Drought-resistant Crops,0.2299,0.2256
0.9484,0.677,0.1551,Soybeans,Organic Farming,0.5474,0.6247
0.0833,0.668,0.2076,Sugarcane,Water Management,0.016,0.0173
0.6927,0.3184,0.1514,Coffee,Drought-resistant Crops,0.1511,0.0861
0.471,0.9768,0.263,Barley,Crop Rotation,0.5789,0.2076
0.4469,0.8655,0.2294,Fruits,Organic Farming,0.5114,0.365
0.3784,0.6791,0.6505,Corn,No Adaptation,0.2878,0.1922
0.1802,0.1626,0.4966,Rice,Drought-resistant Crops,0.0547,0.0284
0.4207,0.4437,0.8296,Soybeans,Organic Farming,0.7816,0.3767
0.9907,0.1913,0.4905,Corn,Crop Rotation,0.3425,0.3681
0.4097,0.1514,0.5446,Rice,Water Management,0.8626,0.9154
0.6949,0.9896,0.5166,Corn,Organic Farming,0.3357,0.1712
0.3258,0.2998,0.5374,Cotton,Drought-resistant Crops,0.3587,0.2327
0.4164,0.3946,0.3304,Barley,Organic Farming,0.2574,0.241
0.9132,0.7722,0.0716,Rice,Organic Farming,0.1723,0.2344
0.2923,0.2162,0.4815,Coffee,Water Management,0.4621,0.2205
0.7813,0.4319,0.2651,Rice,Drought-resistant Crops,0.5654,0.5586
0.043,0.5605,0.5578,Vegetables,Crop Rotation,0.1135,0.1152
0.5958,0.6323,0.6725,Rice,Crop Rotation,0.5249,0.3343
0.9967,0.9105,0.7627,Wheat,Organic Farming,0.0649,0.1137
0.9782,0.301,0.4109,Wheat,Organic Farming,0.2472,0.2411
0.5173,0.2767,0.3811,Cotton,Organic Farming,0.7275,0.2089
0.1271,0.1561,0.7941,Corn,Drought-resistant Crops,0.5361,0.4325
0.3006,0.357,0.2996,Vegetables,No Adaptation,0.025,0.0613
0.5373,0.0835,0.4496,Barley,Organic Farming,0.8045,0.3753
0.9257,0.4206,0.6631,Soybeans,Water Management,0.6809,0.3493
0.3679,0.093,0.2336,Wheat,Organic Farming,0.0689,0.0243
0.8431,0.4428,0.3152,Coffee,No Adaptation,0.3729,0.2772
0.1509,0.7584,0.6907,Cotton,Water Management,0.3177,0.3318
0.4867,0.3643,0.21,Corn,No Adaptation,0.2817,0.1444
0.1827,0.3785,0.3631,Barley,Water Management,0.381,0.1797
0.1939,0.2165,0.5895,Wheat,Water Management,0.5497,0.2599
0.0373,0.0348,0.7664,Coffee,No Adaptation,0.1196,0.0305
0.1904,0.445,0.3577,Vegetables,Organic Farming,0.1196,0.177
0.7528,0.8375,0.2801,Corn,Crop Rotation,0.4864,0.5213
0.6559,0.214,0.2372,Wheat,Water Management,0.0628,0.0393
0.1917,0.9648,0.8339,Sugarcane,Water Management,0.2029,0.2625
0.5616,0.9475,0.337,Vegetables,Organic Farming,0.2635,0.3297
0.7255,0.4297,0.6377,Fruits,No Adaptation,0.689,0.4921
0.1211,0.158,0.741,Corn,Drought-resistant Crops,0.4621,0.4421
0.008,0.7147,0.7115,Cotton,No Adaptation,0.3087,0.3735
0.1141,0.2609,0.199,Rice,Drought-resistant Crops,0.5226,0.429
0.6934,0.3321,0.9554,Coffee,Crop Rotation,0.3567,0.3223
0.1599,0.7404,0.1835,Wheat,Water Management,0.4276,0.4335
0.8418,0.415,0.9095,Cotton,Crop Rotation,0.5938,0.1461
0.959,0.0971,0.0532,Vegetables,Organic Farming,0.2432,0.192
0.6376,0.2376,0.7224,Corn,Crop Rotation,0.7883,0.7068
0.4577,0.1949,0.3783,Rice,Water Management,0.8807,0.349
0.9837,0.3438,0.8917,Cotton,Crop Rotation,0.1621,0.1066
0.5588,0.894,0.47,Fruits,No Adaptation,0.3364,0.0978
0.2693,0.7716,0.2258,Cotton,Drought-resistant Crops,0.1624,0.2064
0.5065,0.0838,0.6528,Vegetables,No Adaptation,0.7316,0.655
0.5413,0.7533,0.5621,Vegetables,Organic Farming,0.8187,0.4828
0.8336,0.744,0.1966,Rice,Drought-resistant Crops,0.6285,0.5122
0.5233,0.9145,0.0024,Barley,Organic Farming,0.2614,0.2214
0.7082,0.3902,0.3168,Cotton,Drought-resistant Crops,0.3749,0.1873
0.8483,0.5728,0.6902,Cotton,Drought-resistant Crops,0.4596,0.4651
0.8541,0.7603,0.0968,Sugarcane,Drought-resistant Crops,0.1966,0.0749
0.2057,0.9011,0.1978,Cotton,Organic Farming,0.1682,0.2356
0.244,0.828,0.9076,Fruits,Drought-resistant Crops,0.3537,0.3615
0.2487,0.5248,0.9132,Fruits,No Adaptation,0.3763,0.188
0.7693,0.4313,0.9022,Corn,Water Management,0.329,0.3925
0.9107,0.7518,0.9792,Coffee,Crop Rotation,0.3992,0.2624
0.6171,0.9283,0.8238,Vegetables,Crop Rotation,0.8856,0.2661
0.9942,0.7407,0.9669,Barley,Crop Rotation,0.5573,0.4995
0.9424,0.9191,0.2832,Vegetables,No Adaptation,0.6938,0.6847
0.0538,0.9959,0.3977,Barley,No Adaptation,0.2186,0.0404
0.7147,0.3904,0.1076,Cotton,Crop Rotation,0.6343,0.6471
0.3956,0.3924,0.7296,Barley,Water Management,0.7316,0.389
0.3856,0.5721,0.5432,Barley,Water Management,0.5159,0.1301
0.3606,0.5938,0.9915,Rice,Organic Farming,0.0835,0.0319
0.3784,0.6371,0.6037,Corn,Water Management,0.9977,0.4402
0.8839,0.4318,0.2014,Rice,Water Management,0.3486,0.0811
0.1129,0.4043,0.0257,Vegetables,Crop Rotation,0.075,0.0242
0.0906,0.322,0.402,Fruits,No Adaptation,0.3695,0.0767
0.736,0.7816,0.435,Soybeans,Water Management,0.741,0.4103
0.0373,0.2252,0.0577,Sugarcane,Drought-resistant Crops,0.5474,0.1348
0.9392,0.4711,0.0512,Soybeans,Drought-resistant Crops,0.651,0.5862
0.5766,0.2545,0.8935,Vegetables,No Adaptation,0.6848,0.4343
0.708,0.3977,0.6821,Corn,Organic Farming,0.2797,0.281
0.723,0.048,0.0611,Coffee,Water Management,0.1196,0.0963
0.1154,0.8766,0.1818,Vegetables,Drought-resistant Crops,0.4215,0.2324
0.1031,0.512,0.1549,Sugarcane,Drought-resistant Crops,0.1241,0.13
0.7495,0.865,0.6278,Fruits,No Adaptation,0.7118,0.1878
0.1879,0.5021,0.3608,Rice,Organic Farming,0.4722,0.2021
0.8093,0.4396,0.6115,Fruits,Water Management,0.6712,0.6756
0.4079,0.8575,0.958,Fruits,Water Management,0.5474,0.3986
0.3906,0.4436,0.1,Rice,Organic Farming,0.4377,0.4739
0.2828,0.2305,0.2631,Vegetables,Drought-resistant Crops,0.3402,0.09
0.2065,0.4061,0.7953,Rice,Drought-resistant Crops,0.3506,0.3692
0.3831,0.2194,0.622,Sugarcane,Drought-resistant Crops,0.4479,0.3229
0.7125,0.264,0.7386,Sugarcane,No Adaptation,0.3132,0.1261
0.9317,0.4026,0.5286,Coffee,No Adaptation,0.5188,0.4978
0.275,0.9782,0.8298,Vegetables,Drought-resistant Crops,0.3087,0.0836
0.3691,0.5195,0.7653,Vegetables,No Adaptation,0.0122,0.0681
0.8426,0.0961,0.8703,Wheat,No Adaptation,0.6647,0.6879
0.8944,0.363,0.8545,Cotton,Organic Farming,0.2749,0.152
0.26,0.431,0.3857,Soybeans,Water Management,0.2452,0.1964
0.5923,0.408,0.4098,Soybeans,Drought-resistant Crops,0.5918,0.5673
0.9099,0.5043,0.16,Vegetables,No Adaptation,0.6803,0.4101
0.9227,0.9731,0.4459,Sugarcane,Water Management,0.2675,0.2941
0.8811,0.8158,0.527,Barley,Organic Farming,0.5519,0.2828
0.477,0.0316,0.2393,Rice,Crop Rotation,0.3425,0.1879
0.7165,0.3913,0.4377,Barley,Crop Rotation,0.6397,0.5134
0.2773,0.0477,0.6842,Barley,Drought-resistant Crops,0.0446,0.0
0.5418,0.6054,0.1011,Fruits,Crop Rotation,0.5391,0.3187
0.7417,0.688,0.1901,Vegetables,Water Management,0.3628,0.1711
0.5153,0.673,0.2717,Rice,Organic Farming,0.6195,0.3968
0.6391,0.5784,0.9096,Sugarcane,Organic Farming,0.6363,0.6933
0.4237,0.5623,0.5874,Rice,No Adaptation,0.7208,0.1919
0.7843,0.8914,0.6518,Soybeans,Organic Farming,0.612,0.4817
0.2773,0.7622,0.3194,Barley,Water Management,0.4762,0.1885
0.1089,0.0034,0.7502,Wheat,Organic Farming,0.5046,0.3523
0.1734,0.0403,0.9197,Rice,Organic Farming,0.1824,0.1503
0.7422,0.2915,0.8179,Vegetables,Crop Rotation,0.0993,0.1474
0.8341,0.73,0.399,Wheat,Organic Farming,0.6566,0.5164
0.285,0.9476,0.2759,Vegetables,Water Management,0.5654,0.1606
0.9107,0.1155,0.0171,Barley,Water Management,0.3447,0.2666
0.7017,0.0198,0.9247,Wheat,No Adaptation,0.3526,0.2332
0.5518,0.9869,0.9809,Fruits,Organic Farming,0.8131,0.178
0.6316,0.5569,0.0257,Wheat,Drought-resistant Crops,0.3263,0.2877
0.4292,0.0009,0.0185,Sugarcane,Organic Farming,0.4884,0.1731
0.7655,0.3131,0.26,Barley,Crop Rotation,0.6667,0.1829
0.9492,0.6252,0.1232,Wheat,Drought-resistant Crops,0.3965,0.2175
0.8884,0.3217,0.6395,Cotton,Crop Rotation,0.7906,0.1934
0.5706,0.966,0.2673,Barley,Crop Rotation,0.8694,0.2478
0.1061,0.3897,0.0842,Coffee,Water Management,0.4337,0.265
0.7795,0.2935,0.5264,Soybeans,No Adaptation,0.6404,0.6922
0.3133,0.9637,0.4065,Soybeans,No Adaptation,0.1669,0.1456
0.7903,0.2156,0.2187,Rice,Water Management,0.2749,0.2897
0.4452,0.1722,0.1253,Coffee,Water Management,0.293,0.2648
0.4187,0.3612,0.3704,Sugarcane,Water Management,0.2695,0.2439
0.7588,0.4934,0.8659,Corn,Crop Rotation,0.5654,0.5296
0.4925,0.7348,0.7608,Wheat,Water Management,0.8311,0.4109
0.7157,0.1621,0.7139,Rice,Crop Rotation,0.6014,0.5753
0.1884,0.008,0.3224,Fruits,Water Management,0.0831,0.0169
0.733,0.4474,0.476,Rice,Drought-resistant Crops,0.0813,0.0502
0.6159,0.0007,0.8333,Rice,Water Management,0.9018,0.6148
0.1737,0.3589,0.5072,Vegetables,No Adaptation,0.2096,0.2819
0.1742,0.3267,0.5468,Fruits,Organic Farming,0.1094,0.0391
0.532,0.1101,0.7323,Barley,Drought-resistant Crops,0.8154,0.1778
0.0475,0.5232,0.932,Rice,No Adaptation,0.0768,0.1453
0.7275,0.2416,0.7436,Wheat,Drought-resistant Crops,0.2128,0.2272
0.2362,0.1418,0.5654,Coffee,Organic Farming,0.3303,0.3965
0.2362,0.8536,0.2729,Fruits,Crop Rotation,0.1966,0.0891
0.3604,0.6512,0.0108,Barley,Organic Farming,0.0813,0.0232
0.2467,0.7194,0.3393,Coffee,Water Management,0.4078,0.362
0.3216,0.3805,0.9699,Soybeans,Water Management,0.1398,0.2142
0.5323,0.4495,0.6661,Sugarcane,Water Management,0.6465,0.6215
0.1829,0.0477,0.9382,Vegetables,Crop Rotation,0.0041,0.0085
0.0438,0.1323,0.5758,Fruits,Organic Farming,0.2716,0.1859
0.8461,0.704,0.4407,Wheat,Drought-resistant Crops,0.1669,0.2318
0.8736,0.9644,0.7311,Barley,Drought-resistant Crops,0.7568,0.5365
0.3096,0.8928,0.6694,Corn,Drought-resistant Crops,0.1916,0.0611
0.8519,0.868,0.9941,Fruits,Organic Farming,0.687,0.357
0.3033,0.1647,0.702,Cotton,Crop Rotation,0.2502,0.2288
0.98,0.3579,0.8352,Wheat,Crop Rotation,0.2704,0.1564
0.5646,0.4353,0.7313,Coffee,Organic Farming,0.7726,0.1941
0.701,0.6452,0.11,Corn,Drought-resistant Crops,0.4317,0.2537
0.5428,0.6598,0.6352,Barley,No Adaptation,0.2614,0.2323
0.7335,0.1541,0.3056,Cotton,No Adaptation,0.6141,0.5517
0.021,0.0414,0.3831,Wheat,Water Management,0.2371,0.238
0.4257,0.8955,0.2963,Soybeans,No Adaptation,0.4483,0.4352
0.7943,0.8233,0.1571,Wheat,Water Management,0.5431,0.3785
0.0193,0.0,0.0192,Wheat,No Adaptation,0.0304,0.0498
0.1109,0.7779,0.9386,Rice,No Adaptation,0.4956,0.2818
0.8438,0.7602,0.6128,Cotton,Water Management,0.7005,0.1813
0.2167,0.3621,0.3805,Coffee,No Adaptation,0.4821,0.441
0.8208,0.0578,0.2321,Coffee,Crop Rotation,0.5755,0.6328
0.8951,0.408,0.4861,Wheat,Water Management,0.2051,0.2167
0.2377,0.7944,0.3065,Corn,No Adaptation,0.4317,0.3336
0.1284,0.8517,0.8991,Coffee,Water Management,0.061,0.0139
0.9775,0.3117,0.9306,Coffee,Organic Farming,0.304,0.2917
0.2913,0.7015,0.8139,Barley,Drought-resistant Crops,0.5114,0.2609
0.1529,0.3773,0.3983,Corn,Drought-resistant Crops,0.4195,0.3421
0.5596,0.9493,0.1683,Fruits,Crop Rotation,0.2412,0.1009
0.2745,0.6199,0.9935,Barley,Drought-resistant Crops,0.2695,0.2875
0.4374,0.2798,0.7043,Fruits,Crop Rotation,0.5519,0.2855
0.5741,0.2032,0.0617,Rice,Drought-resistant Crops,0.2006,0.2308
0.1797,0.9837,0.8692,Cotton,No Adaptation,0.5114,0.1706
0.0228,0.7323,0.8806,Soybeans,No Adaptation,0.5046,0.162
0.4499,0.8975,0.5951,Sugarcane,Organic Farming,0.4499,0.1179
0.4042,0.2439,0.7221,Coffee,Crop Rotation,0.2479,0.1282
0.1484,0.6066,0.8522,Cotton,Crop Rotation,0.3121,0.3251
0.6126,0.9645,0.1557,Soybeans,Crop Rotation,0.3898,0.2809
0.8609,0.4137,0.9887,Wheat,Crop Rotation,0.0811,0.0256
0.8709,0.852,0.7006,Vegetables,Drought-resistant Crops,0.2047,0.0995
0.224,0.8815,0.1944,Corn,Crop Rotation,0.2756,0.2615
0.1339,0.8235,0.5037,Coffee,Crop Rotation,0.4053,0.2975
0.6587,0.7887,0.3574,Rice,Drought-resistant Crops,0.5816,0.6017
0.5648,0.1574,0.6224,Sugarcane,Crop Rotation,0.7721,0.3199
0.983,0.5139,0.6964,Vegetables,Crop Rotation,0.2776,0.2581
0.4057,0.066,0.0489,Barley,Drought-resistant Crops,0.9059,0.599
0.3956,0.4621,0.3204,Cotton,No Adaptation,0.4168,0.102
0.8971,0.5928,0.7452,Vegetables,Drought-resistant Crops,0.1378,0.1575
0.5793,0.155,0.9617,Vegetables,Water Management,0.6487,0.4358
0.4094,0.1394,0.1029,Rice,Water Management,0.4708,0.3613
0.9715,0.0634,0.6092,Barley,Water Management,0.5249,0.2693
0.5023,0.2911,0.3089,Fruits,Water Management,0.2472,0.3194
0.3456,0.2678,0.7904,Coffee,Drought-resistant Crops,0.5024,0.1333
0.4494,0.9507,0.205,Corn,Organic Farming,0.3688,0.3883
0.5663,0.6968,0.9057,Corn,No Adaptation,0.5519,0.3069
0.9122,0.8951,0.5832,Corn,Drought-resistant Crops,0.3065,0.3004
0.0726,0.5129,0.0198,Cotton,Crop Rotation,0.1844,0.1726
0.72,0.8226,0.3115,Vegetables,Organic Farming,0.5188,0.358
0.8769,0.9017,0.3567,Rice,No Adaptation,0.5519,0.181
0.1491,0.5441,0.8059,Soybeans,Drought-resistant Crops,0.1781,0.186
0.2515,0.8032,0.6944,Vegetables,No Adaptation,0.0475,0.0482
0.2165,0.0903,0.0415,Coffee,No Adaptation,0.4519,0.1526
0.4567,0.4693,0.9,Wheat,Crop Rotation,0.2351,0.0456
0.4119,0.6269,0.8594,Wheat,Drought-resistant Crops,0.608,0.651
0.6599,0.0901,0.8347,Cotton,Water Management,0.5735,0.1387
0.7545,0.3503,0.4397,Vegetables,Organic Farming,0.46,0.4036
0.6091,0.768,0.1007,Barley,Crop Rotation,0.2898,0.2937
0.29,0.0328,0.4075,Sugarcane,Drought-resistant Crops,0.3709,0.2004
0.9234,0.3553,0.1986,Cotton,No Adaptation,0.1984,0.1448
0.538,0.6783,0.9991,Coffee,Organic Farming,0.6384,0.6439
0.0233,0.6097,0.3911,Vegetables,Organic Farming,0.5474,0.3562
0.2272,0.9783,0.1118,Sugarcane,No Adaptation,0.0973,0.1063
0.8041,0.9884,0.56,Barley,Water Management,0.3324,0.163
0.4104,0.3357,0.2828,Wheat,Crop Rotation,0.3161,0.1186
0.4637,0.0195,0.1231,Cotton,Water Management,0.5533,0.1467
0.9812,0.6684,0.5197,Wheat,Water Management,0.0768,0.015
0.0323,0.5106,0.8169,Barley,Organic Farming,0.3364,0.1813
0.529,0.34,0.8308,Fruits,Drought-resistant Crops,0.6577,0.6339
0.9902,0.3855,0.2961,Coffee,Crop Rotation,0.356,0.4322
0.2685,0.7608,0.8165,Barley,Organic Farming,0.034,0.1052
0.6326,0.7199,0.4557,Corn,Water Management,0.4742,0.119
0.9342,0.1147,0.9729,Corn,No Adaptation,0.5924,0.1664
0.475,0.9715,0.9281,Rice,No Adaptation,0.5715,0.4411
0.4382,0.8413,0.867,Coffee,Organic Farming,0.5924,0.1337
0.262,0.7324,0.4725,Vegetables,Drought-resistant Crops,0.4776,0.4279
0.7625,0.513,0.2666,Cotton,Organic Farming,0.4641,0.2257
0.3826,0.5504,0.5769,Vegetables,Water Management,0.4499,0.4582
0.4242,0.5544,0.9558,Wheat,Organic Farming,0.3155,0.0826
0.6669,0.4366,0.1574,Soybeans,Crop Rotation,0.5492,0.5964
0.1774,0.1229,0.3059,Cotton,No Adaptation,0.0925,0.1219
0.9755,0.5176,0.3669,Coffee,Organic Farming,0.5992,0.5301
0.3376,0.3711,0.2443,Corn,Water Management,0.2164,0.2649
0.974,0.66,0.93,Fruits,No Adaptation,0.3648,0.1886
0.2482,0.4879,0.2423,Sugarcane,Organic Farming,0.1624,0.2198
0.8343,0.7071,0.6136,Soybeans,Water Management,0.3465,0.0813
0.3604,0.39,0.0885,Sugarcane,Drought-resistant Crops,0.0498,0.101
0.3303,0.2583,0.8915,Rice,Drought-resistant Crops,0.088,0.0226
0.9454,0.4127,0.2178,Sugarcane,Water Management,0.3445,0.1467
0.8826,0.9714,0.5944,Cotton,Drought-resistant Crops,0.66,0.594
0.9169,0.2899,0.5835,Vegetables,Crop Rotation,0.2067,0.0457
0.3133,0.3139,0.1141,Soybeans,Drought-resistant Crops,0.0363,0.0844
0.9039,0.2475,0.0696,Cotton,Water Management,0.0973,0.1533
0.9745,0.7417,0.0158,Wheat,Drought-resistant Crops,0.6938,0.202
0.5946,0.5975,0.9296,Soybeans,No Adaptation,0.2659,0.217
0.7245,0.5423,0.1727,Soybeans,Drought-resistant Crops,0.4213,0.4722
0.0526,0.4074,0.3697,Rice,Drought-resistant Crops,0.3222,0.0559
0.1269,0.7456,0.4199,Rice,Water Management,0.2682,0.0553
0.0075,0.1345,0.4791,Soybeans,No Adaptation,0.3155,0.358
0.5611,0.4607,0.4522,Coffee,Water Management,0.9662,0.6953
0.239,0.9336,0.51,Soybeans,No Adaptation,0.4055,0.1691
0.4812,0.6048,0.1346,Corn,No Adaptation,0.5406,0.5369
0.468,0.0874,0.2692,Soybeans,Water Management,0.2412,0.175
0.1577,0.2949,0.9753,Barley,Crop Rotation,0.3357,0.3898
0.6169,0.7215,0.8865,Coffee,Water Management,0.347,0.2906
0.5288,0.996,0.8057,Wheat,Organic Farming,0.937,0.9631
0.2825,0.6204,0.501,Vegetables,Water Management,0.0892,0.0084
0.7898,0.88,0.536,Barley,Organic Farming,0.7523,0.6727
